,DNA Sequencing pre,DNA Sequencing post,Microbial Communities pre,Microbial Communities post,Computational Biology pre,Computational Biology post,Careers in Genomics pre,Careers in Genomics post,DNA isolation pre,DNA isolation post,PCR pre,PCR post,Linux pre,Linux post,Scripting pre,Scripting post,PCA pre,PCA post
1,3,5,3,5,3,5,3,4,4,4,3,5,3,4,3,4,3,4
2,4,5,4,5,4,5,2,5,5,5,5,5,3,4,3,4,3,5
3,4,5,4,4,3,4,4,5,5,5,5,5,3,3,3,3,2,3
4,4,5,4,5,2,5,2,4,4,5,4,5,2,4,2,4,2,4
5,4,4,2,4,2,4,2,4,3,5,5,5,1,2,1,2,3,4
6,4,5,3,5,2,4,3,4,4,5,5,5,1,3,2,3,2,4
7,3,5,4,4,2,5,2,3,4,4,4,4,3,4,3,5,3,4
8,4,5,,4,4,4,3,4,3,4,3,4,5,5,5,5,2,4
9,2,3,2,3,2,3,2,3,4,4,4,4,3,2,3,2,3,3
10,3,4,3,4,1,4,2,4,1,3,1,3,1,2,1,4,1,4
11,3,3,1,3,1,3,1,3,1,5,1,5,1,1,1,1,1,3
12,4,4,1,4,1,3,1,4,3,5,4,3,2,5,4,4,4,3
13,2,3,1,4,1,4,1,4,3,4,3,4,2,4,2,4,3,3
14,3,5,2,5,2,4,2,3,2,4,2,4,2,5,2,5,4,5
15,3,5,1,5,1,5,1,5,2,5,2,5,1,2,1,2,1,2
16,3,2,3,3,2,3,3,4,4,5,4,5,1,3,1,3,2,3
17,4,4,2,4,2,4,2,4,2,4,3,4,2,5,4,5,2,4
18,2,3,2,3,1,3,1,2,1,3,1,3,1,3,1,3,1,3
19,1,5,1,5,1,4,1,4,3,3,3,4,3,3,3,4,3,3
20,3,3,2,4,2,4,2,4,3,4,2,3,2,3,3,4,3,4
21,4,5,4,5,3,5,4,4,4,5,4,5,4,5,4,4,4,5
22,5,5,4,4,3,4,4,4,5,5,5,5,2,3,2,2,2,2
23,3,4,3,5,3,4,3,4,3,4,3,4,3,5,3,4,3,5
24,4,4,4,4,3,3,3,4,4,4,4,4,3,3,2,3,1,4
25,3,4,2,5,3,4,3,4,3,4,3,4,3,4,3,5,2,5
26,4,5,4,5,1,4,2,5,4,4,3,4,3,4,3,4,3,4
27,2,4,2,4,1,4,2,4,3,5,4,5,1,4,1,4,1,3